voter,Conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
conor-oneill,mwc,-0.10252068965517241,-0.054485057471264364,-0.11733448275862068,-0.12396206896551723,-0.05240114942528736,-0.1349551724137931,-0.13265632183908047,-0.05925862068965517,-0.14479885057471265,-14.35632183908046,-17.611103448275863
conor-oneill,sun-belt,-0.18752380952380954,-0.13250952380952383,-0.2103698412698413,-0.2187063492063492,-0.07243968253968254,-0.29045238095238096,-0.22255238095238095,-0.08554285714285714,-0.28926825396825395,-28.96825396825397,-32.9834126984127
conor-oneill,cusa,-0.2682434782608696,-0.3245217391304348,-0.18608695652173915,-0.2734304347826087,-0.25850434782608694,-0.3066130434782609,-0.2642478260869565,-0.2721391304347826,-0.27002173913043476,-43.43478260869565,-44.86295652173913
dave-southorn,cusa,-0.1089,0.0,-0.1089,0.0162,0.0,0.0162,0.010400000000000001,0.0,0.010400000000000001,-10.0,1.5
don-williams,acc,0.027208016877637135,0.026513291139240506,0.025324261603375527,-0.21092552742616036,-0.24886181434599156,-0.1547666666666667,-0.20314113924050634,-0.23576476793248943,-0.15232974683544304,1.5358649789029535,-11.089628691983123
don-williams,sec,-0.04597492401215805,-0.03817841945288754,-0.026847872340425533,-0.551937386018237,-0.5502270516717325,-0.507726443768997,-0.536019452887538,-0.5255547112462006,-0.49979726443768996,-9.706686930091186,-31.524003039513676
don-williams,mac,-0.19918333333333335,-0.18030000000000002,-0.21805208333333334,-0.8800281249999999,-0.7815166666666666,-0.9502916666666666,-0.8828572916666667,-0.7907989583333334,-0.9466270833333333,-6.09375,-37.030770833333335
don-williams,big-12,-0.01666958174904943,0.050799049429657794,-0.09528897338403042,-0.17999923954372624,-0.131095247148289,-0.21478954372623574,-0.1734768060836502,-0.12068307984790876,-0.2132480988593156,-10.5893536121673,-23.899134980988592
don-williams,big-ten,-0.11747516059957173,-0.08337987152034261,-0.11984346895074947,-0.32818543897216274,-0.28343019271948605,-0.3161580299785867,-0.3153066381156317,-0.26668950749464665,-0.30743982869379016,-11.4796573875803,-26.78952034261242
don-williams,pac-12,-0.041719700214132766,-0.047428265524625264,-0.04498244111349036,-0.1750777301927195,-0.16135353319057813,-0.16453062098501073,-0.17013468950749464,-0.15375867237687366,-0.16235331905781586,-7.117773019271948,-21.093824411134904
don-williams,american,0.23074102564102564,0.16656752136752134,0.2035076923076923,0.10208247863247863,0.06993974358974359,0.07606965811965812,0.0960940170940171,0.07265641025641026,0.07344871794871795,22.02991452991453,13.044764957264956
don-williams,mwc,0.2627264705882353,0.17348529411764704,0.15090588235294117,0.15642205882352941,0.09751617647058823,0.09714117647058823,0.15656911764705883,0.09451911764705884,0.09411764705882353,11.338235294117647,8.644397058823529
doug-lesmerises,sun-belt,-0.1304,0.0,-0.1304,-0.038,0.0,-0.038,-0.0652,0.0,-0.0652,-6.0,-1.75
dylan-sinn,sec,0.0497706783369803,0.04061575492341357,0.09527089715536104,-0.48141422319474836,-0.502627352297593,-0.3390424507658643,-0.462810284463895,-0.47718971553610506,-0.3291684901531729,3.560175054704595,-19.603420131291028
