voter,conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean,n
eric-boynton,sun-belt,0.2598081952920663,0.2070619006102877,0.2920662598081953,0.6922406277244987,0.7332170880557978,0.6124673060156931,0.6887532693984307,0.6992153443766347,0.6190061028770706,0.26939843068875324,0.5623365300784655,0.37532693984306886
eric-boynton,cusa,0.2646033129904098,0.34960767218831734,0.18308631211857018,0.7323452484742807,0.8225806451612904,0.516564952048823,0.7467306015693113,0.7938099389712293,0.56974716652136,0.08456843940714909,0.4943330427201395,0.1475588491717524
gene-henley,acc,0.546207497820401,0.47297297297297297,0.461639058413252,0.1952920662598082,0.044463818657367045,0.3905841325196164,0.1878814298169137,0.05187445510026155,0.33260680034873585,0.553182214472537,0.5566695727986051,0.3432868352223191
gene-henley,sec,0.6961639058413251,0.7824760244115083,0.6983435047951178,0.04010462074978204,0.06756756756756757,0.018744551002615517,0.04751525719267655,0.07977332170880558,0.023103748910200523,0.7680906713164778,0.03487358326068003,0.5507846556233653
gene-henley,mac,0.7794245858761988,0.7301656495204882,0.8177855274629469,0.06320836965998257,0.2140366172624237,0.013077593722755012,0.06233653007846556,0.2040104620749782,0.013949433304272014,0.7608979947689625,0.04882301656495205,0.1305579773321709
gene-henley,big-12,0.3400174367916303,0.3870967741935484,0.26503923278116825,0.6517000871839581,0.6033129904097646,0.5932868352223191,0.6434176111595467,0.5893635571054926,0.5793374019180471,0.2833478639930253,0.5684394071490846,0.5595030514385353
gene-henley,big-ten,0.6918047079337402,0.7497820401046208,0.5344376634699215,0.5972101133391456,0.56974716652136,0.468613775065388,0.6198779424585876,0.5941586748038361,0.48299912816041846,0.6054925893635571,0.07323452484742807,0.5455536181342633
gene-henley,pac-12,0.451176983435048,0.5340017436791631,0.2933740191804708,0.6373147340889277,0.6473408892763731,0.5714908456843941,0.6325196163905842,0.6408020924149956,0.5610287707061901,0.3583260680034874,0.35222319093286836,0.5335658238884046
gene-henley,mwc,0.5383609415867481,0.513949433304272,0.4864864864864865,0.8308631211857018,0.6421098517872711,0.7911944202266783,0.8421970357454228,0.6573670444638187,0.7846556233653008,0.49324324324324326,0.47035745422842196,0.23387096774193547
gene-henley,american,0.6085440278988666,0.30688753269398433,0.6769834350479512,0.7624237140366172,0.7397558849171753,0.7192676547515258,0.7802964254577158,0.7489102005231038,0.7279860505666957,0.476460331299041,0.6024411508282476,0.4084568439407149
gene-henley,sun-belt,0.5632083696599826,0.14254577157802964,0.7101133391455972,0.8125544899738448,0.7999128160418483,0.7183958151700087,0.8164777680906713,0.7663469921534438,0.7223190932868352,0.45292066259808195,0.6769834350479512,0.1305579773321709
james-kratch,acc,0.8988666085440279,0.9520488230165649,0.7785527462946817,0.36573670444638184,0.2959895379250218,0.37314734088927637,0.36835222319093286,0.2981691368788143,0.36704446381865735,0.8387096774193549,0.5592850915431561,0.7842197035745423
james-kratch,sec,0.8748910200523103,0.7894507410636443,0.9324324324324325,0.1068003487358326,0.09023539668700958,0.0911072362685266,0.1020052310374891,0.08282476024411509,0.0937227550130776,0.8696599825632084,0.2192676547515257,0.8500435919790759
james-kratch,mac,0.007846556233653008,0.0026155187445510027,0.023975588491717523,0.012641673931996512,0.01002615518744551,0.007846556233653008,0.011333914559721011,0.006974716652136007,0.006974716652136007,0.5204882301656495,0.09023539668700958,0.36835222319093286
james-kratch,big-12,0.9036617262423714,0.9106364428945074,0.9080209241499564,0.6608544027898866,0.5475152571926766,0.6695727986050567,0.6861377506538797,0.5850043591979076,0.6730601569311246,0.9585876198779425,0.6883173496076722,0.8347863993025283
james-kratch,big-ten,0.13251961639058413,0.2083696599825632,0.07236268526591107,0.3234524847428073,0.3700959023539669,0.25326939843068874,0.3238884045335658,0.36704446381865735,0.25196163905841323,0.1024411508282476,0.05928509154315606,0.8256320836965998
james-kratch,pac-12,0.23931996512641673,0.15649520488230165,0.2724498692240628,0.5614646904969486,0.49476896251089797,0.49128160418482997,0.5553618134263295,0.49128160418482997,0.496512641673932,0.1822144725370532,0.34742807323452485,0.7602441150828247
james-kratch,american,0.5265911072362686,0.548823016564952,0.38099389712292936,0.479075850043592,0.5340017436791631,0.3984306887532694,0.478204010462075,0.5492589363557105,0.38448125544899736,0.506102877070619,0.45684394071490847,0.7162162162162162
james-kratch,mwc,0.28465562336530076,0.41020052310374894,0.24498692240627726,0.8112467306015693,0.7929380993897123,0.7476024411508283,0.7951176983435048,0.7846556233653008,0.7275501307759372,0.14908456843940715,0.6351351351351351,0.41390584132519614
james-kratch,sun-belt,0.05972101133391456,0.023975588491717523,0.33217088055797733,0.47515257192676547,0.3840453356582389,0.6891891891891891,0.44507410636442896,0.33217088055797733,0.7053182214472538,0.02048823016564952,0.0998256320836966,0.5289886660854403
james-kratch,cusa,0.533129904097646,0.6652136006974717,0.3722755013077594,0.6822144725370531,0.923278116826504,0.488666085440279,0.7362685265911072,0.8513513513513513,0.5675675675675675,0.4422406277244987,0.548823016564952,0.23387096774193547
jerry-dipaola,sun-belt,0.9655623365300785,0.9341761115954664,0.9712292938099389,0.9616390584132519,0.9681778552746295,0.9686137750653879,0.974716652136007,0.97384481255449,0.9795117698343505,0.9917175239755885,0.99128160418483,0.33129904097646035
jerry-dipaola,cusa,0.8670444638186574,0.6778552746294682,0.9250217959895379,0.8605056669572798,0.8387096774193549,0.7367044463818657,0.9106364428945074,0.8369659982563208,0.8090671316477768,0.934612031386225,0.7946817785527462,0.1475588491717524
jim-holder,acc,0.15257192676547515,0.20619006102877072,0.14734088927637315,0.15082824760244115,0.04838709677419355,0.31952920662598083,0.14167393199651265,0.05448997384481256,0.26416739319965127,0.19049694856146468,0.43243243243243246,0.3618134263295554
jim-holder,sec,0.9551002615518744,0.972101133391456,0.8936355710549259,0.07628596338273758,0.17829119442022667,0.02048823016564952,0.08761987794245858,0.18352223190932868,0.025719267654751524,0.9359197907585004,0.15518744551002617,0.5455536181342633
jim-holder,mac,0.14952048823016564,0.03095030514385353,0.8609415867480383,0.02964254577157803,0.03923278116826504,0.014821272885789015,0.03312990409764603,0.04054054054054054,0.018308631211857017,0.20793374019180472,0.023539668700959023,0.1305579773321709
jim-holder,big-12,0.2140366172624237,0.06015693112467306,0.44463818657367044,0.5405405405405406,0.3260680034873583,0.6673931996512642,0.502615518744551,0.2951176983435048,0.6434176111595467,0.35309503051438534,0.6503923278116827,0.5595030514385353
jim-holder,big-ten,0.5714908456843941,0.26591107236268524,0.7964254577157803,0.5383609415867481,0.44463818657367044,0.5104620749782041,0.5640802092414996,0.44638186573670446,0.536617262423714,0.6791630340017437,0.17044463818657368,0.5289886660854403
jim-holder,pac-12,0.8530950305143854,0.7938099389712293,0.7288578901482128,0.7166521360069747,0.6503923278116827,0.6521360069747166,0.7432432432432432,0.6538796861377506,0.6909328683522232,0.8648648648648649,0.6582388840453357,0.5335658238884046
jim-holder,american,0.23452484742807322,0.35440278988666085,0.11072362685265912,0.5993897122929381,0.7506538796861377,0.4006102877070619,0.5841325196163906,0.7476024411508283,0.3831734960767219,0.08238884045335658,0.37532693984306886,0.4245858761987794
jim-holder,mwc,0.8034001743679163,0.8430688753269399,0.8251961639058413,0.8530950305143854,0.7074978204010463,0.8204010462074979,0.8653007846556233,0.7515257192676548,0.8055797733217088,0.9659982563208369,0.8095030514385353,0.18679163034001744
jim-holder,sun-belt,0.521795989537925,0.454664341761116,0.5265911072362686,0.909328683522232,0.963382737576286,0.7829119442022667,0.9184829991281604,0.962510897994769,0.7903225806451613,0.6425457715780296,0.8993025283347864,0.17959895379250218
jim-polzin,sun-belt,0.7175239755884917,0.3099389712292938,0.7685265911072363,0.8251961639058413,0.8177855274629469,0.7336530078465562,0.8339145597210114,0.770052310374891,0.7393199651264167,0.7608979947689625,0.7218831734960767,0.1305579773321709
joe-dubin,sun-belt,0.02659110723626853,0.016564952048823016,0.020924149956408022,0.32519616390584133,0.38796861377506536,0.22406277244986922,0.2986050566695728,0.32781168265039234,0.2088055797733217,0.010680034873583261,0.021360069747166522,0.1305579773321709
john-bednarowski,sun-belt,0.06582388840453357,0.23321708805579774,0.03400174367916303,0.43897122929380994,0.7136006974716652,0.2646033129904098,0.4093286835222319,0.6830863121185702,0.25501307759372277,0.013949433304272014,0.03051438535309503,0.3618134263295554
jon-johnson,acc,0.6573670444638187,0.7907585004359198,0.485178727114211,0.15213600697471666,0.06582388840453357,0.1983435047951177,0.15082824760244115,0.07149084568439407,0.1961639058413252,0.4943330427201395,0.14995640802092414,0.6708805579773321
jon-johnson,sec,0.5980819529206626,0.8042720139494333,0.33827375762859635,0.06146469049694856,0.12249346120313863,0.02789886660854403,0.06408020924149957,0.13121185701830862,0.03095030514385353,0.35527462946817784,0.02659110723626853,0.7423714036617263
jon-johnson,mac,0.11333914559721012,0.020924149956408022,0.3805579773321709,0.06408020924149957,0.1024411508282476,0.03138622493461203,0.05884917175239756,0.0911072362685266,0.02877070619006103,0.2048823016564952,0.08020924149956409,0.2951176983435048
jon-johnson,big-12,0.47602441150828245,0.22929380993897122,0.7057541412380122,0.5326939843068875,0.3818657367044464,0.5483870967741935,0.5274629468177855,0.3814298169136879,0.5244115082824761,0.5636442894507411,0.35309503051438534,0.747384481255449
jon-johnson,big-ten,0.7183958151700087,0.4237140366172624,0.7755013077593723,0.6442894507410637,0.5501307759372276,0.6054925893635571,0.6665213600697472,0.5610287707061901,0.6194420226678291,0.6229293809938972,0.2506538796861377,0.7205754141238012
jon-johnson,pac-12,0.5614646904969486,0.4106364428945074,0.6795989537925021,0.7057541412380122,0.6530078465562337,0.6721883173496077,0.7136006974716652,0.6495204882301656,0.6891891891891891,0.5213600697471665,0.5815170008718396,0.689843068875327
jon-johnson,mwc,0.8792502179598953,0.7179598953792502,0.8988666085440279,0.9385353095030514,0.7829119442022667,0.9590235396687009,0.9411508282476024,0.8103748910200523,0.9507410636442895,0.9280732345248475,0.8570183086312119,0.3217088055797733
jon-johnson,american,0.8517872711421098,0.9040976460331299,0.35527462946817784,0.7916303400174368,0.8413251961639059,0.6133391455972101,0.8108108108108109,0.8570183086312119,0.6033129904097646,0.8374019180470793,0.7101133391455972,0.6678291194420227
jon-johnson,sun-belt,0.4245858761987794,0.38448125544899736,0.3234524847428073,0.7755013077593723,0.9245858761987794,0.6159546643417612,0.7942458587619878,0.8509154315605929,0.6277244986922407,0.16041848299912817,0.5540540540540541,0.3618134263295554
jon-johnson,cusa,0.6996512641673932,0.9193548387096774,0.43199651264167394,0.7105492589363557,0.972101133391456,0.44986922406277247,0.7746294681778553,0.9734088927637314,0.544463818657367,0.8321708805579773,0.6639058413251961,0.1475588491717524
jon-wilner,sun-belt,0.8339145597210114,0.33217088055797733,0.939843068875327,0.9285091543156059,0.8090671316477768,0.9655623365300785,0.9437663469921534,0.7972972972972973,0.9760244115082825,0.8626852659110723,0.9394071490845685,0.6351351351351351
josh-furlong,acc,0.567131647776809,0.7728857890148213,0.3561464690496949,0.3714036617262424,0.3343504795117698,0.35047951176983433,0.36486486486486486,0.33347863993025284,0.3365300784655623,0.558413251961639,0.47515257192676547,0.9112903225806451
josh-furlong,sec,0.8426329555361813,0.8247602441150829,0.8308631211857018,0.16216216216216217,0.16129032258064516,0.14341761115954665,0.16303400174367916,0.15867480383609417,0.14472537053182213,0.6935483870967742,0.22580645161290322,0.9518308631211857
josh-furlong,mac,0.05928509154315606,0.07585004359197908,0.025719267654751524,0.026155187445510025,0.06233653007846556,0.01002615518744551,0.022667829119442023,0.047079337401918046,0.0074106364428945075,0.3121185701830863,0.06887532693984307,0.5730165649520488
josh-furlong,big-12,0.34045335658238884,0.27550130775937226,0.479075850043592,0.4777680906713165,0.4019180470793374,0.5335658238884046,0.47951176983435045,0.4014821272885789,0.5300784655623365,0.28378378378378377,0.3081952920662598,0.9333042720139494
josh-furlong,pac-12,0.25850043591979077,0.2048823016564952,0.26591107236268524,0.44638186573670446,0.43199651264167394,0.3923278116826504,0.43766346992153443,0.4189189189189189,0.3966870095902354,0.1918047079337402,0.16739319965126417,0.9019180470793374
