season,week,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std,bias0_ap_mean,bias0_ap_std,bias0_mean_mean,bias0_mean_std
2020,5,-5.8518,42.3383,-33.7976,57.4267,-32.5225,54.9104,-0.7924,3.4887,-1.5941,2.9144
2020,6,-5.2103,38.5314,-33.709,53.928,-33.2813,52.3305,-0.6768,3.2882,-1.6345,2.8389
2020,7,-4.5538,39.1641,-34.0382,54.5687,-32.7692,52.6485,-0.6404,3.1793,-1.6496,2.7022
2020,8,-2.1332,31.7846,-33.2154,52.9347,-32.0562,50.88,-0.3943,2.7476,-1.6889,2.3085
2020,9,-2.3181,32.818,-32.6512,54.87,-31.2543,54.2387,-0.4428,2.9366,-1.6233,2.3953
2020,10,-0.9426,27.3863,-32.3777,50.259,-31.1743,49.3825,-0.1392,2.6781,-1.6618,2.3917
2020,11,-0.8267,23.8004,-32.2042,48.6779,-32.501,47.904,-0.1172,2.3032,-1.7106,2.1098
2020,12,-0.3241,21.3987,-32.4145,46.6124,-32.2234,46.2686,-0.0733,2.2151,-1.7775,2.0955
2020,13,-0.6882,18.3527,-31.2528,45.1309,-30.4583,44.9762,-0.1518,2.0779,-1.7419,1.9275
2020,14,-0.9531,17.1595,-31.0436,44.6429,-30.1854,44.5689,-0.1911,1.9838,-1.7356,1.7719
2020,15,-0.4753,18.5465,-31.5076,45.2273,-29.9248,45.0856,-0.1086,1.9922,-1.7587,1.8913
2020,16,-0.6902,19.0381,-31.5146,45.5736,-31.2873,45.0164,-0.1394,2.189,-1.7175,2.0292
2020,17,-0.5231,21.11,-32.3982,46.3412,-31.0896,45.8967,-0.1091,2.2297,-1.804,2.1164
2021,1,-1.721,46.2449,-36.6657,68.13,-34.6203,64.5072,-0.2577,3.186,-1.6558,2.8803
2021,2,-1.8677,29.6562,-33.1329,52.1549,-31.053,50.55,-0.3601,2.9861,-1.6349,2.6342
2021,3,-1.8571,29.2977,-33.0169,51.3795,-30.6295,49.847,-0.3777,2.9386,-1.6329,2.5268
2021,4,-1.2613,28.5028,-33.1857,50.9504,-32.0826,50.1821,-0.2814,2.6966,-1.6869,2.429
2021,5,-1.7046,27.1772,-32.7432,50.2603,-31.6595,49.181,-0.3571,2.5325,-1.6896,2.1967
2021,6,-0.8569,27.8941,-32.7738,51.4475,-32.8477,50.7429,-0.1724,2.7414,-1.6748,2.538
2021,7,-0.7447,28.1718,-32.9468,50.8636,-31.0365,49.2559,-0.137,2.6738,-1.6649,2.4653
2021,8,-0.8338,29.3221,-33.7476,51.6344,-32.1875,50.1891,-0.1654,2.2987,-1.7698,2.1293
2021,9,-0.2758,27.2802,-33.4534,51.3712,-32.0381,51.4032,-0.0723,2.2823,-1.7392,2.2159
2021,10,-1.8195,30.1393,-32.7076,52.4932,-32.7952,54.3888,-0.3602,2.5207,-1.6536,2.0432
2021,11,-1.5294,32.3081,-32.5894,52.1821,-30.8298,51.4467,-0.3302,2.8856,-1.6168,2.4143
2021,12,-0.7015,25.8593,-32.1937,49.5885,-31.3355,49.5666,-0.1325,2.209,-1.7102,2.0136
2021,13,-0.626,27.4644,-31.9842,49.2925,-31.368,49.4362,-0.1168,2.6336,-1.6562,2.4318
2021,14,-0.6576,22.285,-31.9234,47.8445,-30.5612,47.2417,-0.1477,2.1503,-1.7274,1.9957
2021,15,-1.1985,27.7696,-32.161,53.5954,-31.2921,51.6821,-0.215,2.3556,-1.6778,2.033
2021,16,-1.0205,22.839,-31.3557,46.0843,-31.1498,46.3657,-0.2197,2.764,-1.6592,2.3723
2022,1,-3.392,42.3841,-34.5138,59.1018,-32.0751,57.2335,-0.5951,4.0481,-1.5319,3.3367
2022,2,-1.5889,42.5158,-35.3786,61.9141,-32.2777,58.9569,-0.3244,3.7191,-1.5667,3.3273
2022,3,-1.5468,38.2799,-34.7384,57.8192,-31.9462,54.9664,-0.3634,3.5146,-1.6156,3.1714
2022,4,-1.8537,31.4983,-32.3616,52.2761,-30.8426,51.3144,-0.3581,3.3903,-1.5605,2.9682
2022,5,-1.2691,33.2325,-33.3272,54.5194,-30.6307,53.6773,-0.2459,3.1761,-1.6329,2.8794
2022,6,-1.2204,37.7062,-33.6497,60.0062,-34.8748,65.271,-0.2893,2.4637,-1.712,2.1329
2022,7,-1.6205,34.4209,-33.3812,59.5166,-30.6044,52.66,-0.3329,2.2101,-1.7088,1.8265
2022,8,-0.6935,36.6346,-34.3666,61.7202,-35.5585,66.2021,-0.1564,2.0153,-1.7716,1.8704
2022,9,-0.4106,36.7551,-33.7817,61.7938,-36.0067,66.2395,-0.0778,2.0737,-1.7193,1.9971
2022,10,-0.7136,36.5422,-33.7235,60.086,-32.8731,60.1775,-0.1604,2.0309,-1.7673,1.8638
2022,11,-0.9726,20.2584,-31.5136,46.2996,-31.7219,45.7467,-0.1888,2.1166,-1.7222,1.8762
2022,12,-0.7104,19.1739,-31.6091,45.875,-30.5868,45.2963,-0.1671,2.0046,-1.7728,1.857
