season,team,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std
2016,north-dakota-state-bison,-0.1454,0.1544,-0.0068,0.1405,-0.0448,0.1489
2016,northwestern-wildcats,-0.2381,,-0.0952,,-0.0952,
2016,notre-dame-fighting-irish,-0.1131,0.427,-0.2088,0.4739,-0.1888,0.4579
2016,ohio-state-buckeyes,0.0594,0.4111,-0.7894,0.5929,-0.7224,0.5584
2016,oklahoma-sooners,-0.0199,0.3575,-0.2852,0.4764,-0.2709,0.487
2016,oklahoma-state-cowboys,-0.0462,0.2824,-0.1467,0.2603,-0.1546,0.2597
2016,ole-miss-rebels,-0.0168,0.2879,-0.1499,0.2583,-0.1367,0.2548
2016,oregon-ducks,-0.1385,0.1849,-0.0612,0.1712,-0.0768,0.1732
2016,penn-state-nittany-lions,-0.0111,0.3675,-0.29,0.4386,-0.3048,0.45
2016,pittsburgh-panthers,-0.1261,0.1976,-0.0446,0.1854,-0.0899,0.1969
2016,san-diego-state-aztecs,-0.0763,0.1693,-0.04,0.1454,-0.0604,0.148
2016,south-florida-bulls,-0.0954,0.1792,-0.0562,0.1644,-0.0818,0.1668
2016,stanford-cardinal,0.0131,0.281,-0.236,0.2951,-0.2056,0.2868
2016,tcu-horned-frogs,-0.0967,0.384,-0.1512,0.389,-0.1675,0.3856
2016,temple-owls,-0.0889,0.1681,-0.0345,0.1617,-0.0751,0.166
2016,tennessee-volunteers,-0.0633,0.3286,-0.1907,0.3551,-0.1872,0.3515
2016,texas-am-aggies,-0.0121,0.272,-0.222,0.2818,-0.1992,0.2802
2016,texas-longhorns,0.0199,0.5666,-0.2274,0.6981,-0.1942,0.6803
2016,toledo-rockets,-0.0873,0.0819,-0.0025,0.0765,-0.0025,0.0765
2016,troy-trojans,-0.1113,0.1232,-0.0015,0.1075,-0.0437,0.1115
2016,tulsa-golden-hurricane,-0.1161,0.0486,-0.0589,0.0497,-0.0589,0.0497
2016,ucla-bruins,-0.0932,0.2852,-0.0662,0.2544,-0.0707,0.2624
2016,usc-trojans,0.0376,0.4321,-0.2806,0.4376,-0.2759,0.423
2016,utah-utes,-0.0427,0.2526,-0.1219,0.217,-0.1228,0.2147
2016,virginia-tech-hokies,-0.0624,0.1926,-0.1033,0.1854,-0.0938,0.1851
2016,wake-forest-demon-deacons,-0.1362,0.0992,-0.0482,0.0924,-0.0482,0.0924
2016,washington-huskies,0.024,0.3575,-0.4338,0.3972,-0.4143,0.4053
2016,washington-state-cougars,-0.1503,0.2089,-0.071,0.2005,-0.0902,0.204
2016,west-virginia-mountaineers,0.0057,0.2779,-0.1718,0.2701,-0.1436,0.2626
2016,western-kentucky-hilltoppers,-0.1461,0.1962,-0.0226,0.1238,-0.0739,0.1308
2016,western-michigan-broncos,0.0066,0.2419,-0.1381,0.2451,-0.1259,0.2412
2016,wisconsin-badgers,0.0456,0.3095,-0.2832,0.3126,-0.2726,0.3132
2017,alabama-crimson-tide,0.1175,0.3525,-1.7547,0.6856,-1.6478,0.6775
2017,arizona-wildcats,-0.0892,0.1285,-0.0592,0.1119,-0.0933,0.1166
2017,army-west-point-black-knights,-0.0794,0.0669,-0.0126,0.0631,-0.0378,0.0644
2017,auburn-tigers,0.0198,0.2794,-0.2357,0.3135,-0.2198,0.3322
2017,boise-state-broncos,-0.0704,0.0872,-0.0376,0.0814,-0.0465,0.082
2017,byu-cougars,-0.1109,0.1003,-0.0246,0.0937,-0.0246,0.0937
2017,california-golden-bears,-0.1829,0.1574,-0.0527,0.1201,-0.0224,0.1237
2017,clemson-tigers,0.1025,0.5645,-0.8862,0.8557,-0.8561,0.8654
2017,colorado-buffaloes,-0.1976,0.1317,-0.0551,0.1098,-0.0789,0.114
2017,duke-blue-devils,-0.1617,0.1133,-0.0132,0.1029,-0.0202,0.1035
2017,florida-atlantic-owls,-0.0941,0.0771,0.036,0.0708,0.036,0.0708
2017,florida-gators,-0.0676,0.1815,-0.0887,0.1818,-0.0903,0.1801
2017,florida-state-seminoles,-0.1311,0.5136,-0.463,0.7307,-0.4684,0.7137
2017,fresno-state-bulldogs,-0.0759,0.0348,-0.0345,0.0334,-0.0345,0.0334
2017,georgia-bulldogs,-0.0412,0.2953,-0.5495,0.475,-0.5595,0.4793
2017,georgia-tech-yellow-jackets,-0.1343,0.0699,-0.0627,0.051,-0.0807,0.051
2017,houston-cougars,-0.3239,0.3312,-0.0563,0.2943,-0.1333,0.3323
2017,iowa-hawkeyes,-0.0789,0.1673,-0.0011,0.1857,-0.0254,0.1924
2017,iowa-state-cyclones,-0.0492,0.1803,-0.0713,0.1714,-0.0921,0.1685
2017,kansas-state-wildcats,-0.0292,0.174,-0.1092,0.1814,-0.1115,0.182
2017,kentucky-wildcats,-0.1216,0.0997,0.0123,0.1152,0.0123,0.1152
2017,louisville-cardinals,0.0151,0.1839,-0.1264,0.1883,-0.1151,0.1905
2017,lsu-tigers,-0.0602,0.2394,-0.1311,0.2512,-0.1455,0.2592
2017,maryland-terrapins,-0.1544,0.1335,-0.04,0.1105,-0.0633,0.1171
2017,memphis-tigers,-0.032,0.1622,-0.088,0.1621,-0.0853,0.1608
2017,miami-fl-hurricanes,0.007,0.3023,-0.3307,0.4536,-0.2786,0.3995
